@RELATION OPENJPA13TestDataset

@ATTRIBUTE versionname REAL
@ATTRIBUTE #revision REAL
@ATTRIBUTE #fixcommit REAL
@ATTRIBUTE size REAL
@ATTRIBUTE churn REAL
@ATTRIBUTE maxchurn REAL
@ATTRIBUTE avgchurn REAL
@ATTRIBUTE chgsetsize REAL
@ATTRIBUTE maxchgsetsize REAL
@ATTRIBUTE avgchgsetsize REAL
@ATTRIBUTE buggy {no,yes}
@DATA
14,0,0,385,0,0,0,0,0,0,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,41,0,0,0,0,0,0,no
14,0,0,42,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,103,0,0,0,0,0,0,no
14,0,0,113,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,49,0,0,0,0,0,0,no
14,0,0,44,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,47,0,0,0,0,0,0,no
14,0,0,128,0,0,0,0,0,0,no
14,0,0,200,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,72,0,0,0,0,0,0,no
14,0,0,95,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,160,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,63,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,110,0,0,0,0,0,0,no
14,0,0,90,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,160,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,97,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,235,0,0,0,0,0,0,no
14,0,0,1145,0,0,0,0,0,0,no
14,0,0,781,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,47,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,63,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,44,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,40,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,139,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,276,0,0,0,0,0,0,no
14,0,0,142,0,0,0,0,0,0,no
14,0,0,141,0,0,0,0,0,0,no
14,0,0,265,0,0,0,0,0,0,no
14,0,0,282,0,0,0,0,0,0,no
14,0,0,117,0,0,0,0,0,0,no
14,0,0,119,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,104,0,0,0,0,0,0,no
14,0,0,82,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,132,0,0,0,0,0,0,no
14,0,0,179,0,0,0,0,0,0,no
14,0,0,114,0,0,0,0,0,0,no
14,0,0,147,0,0,0,0,0,0,no
14,0,0,172,0,0,0,0,0,0,no
14,0,0,122,0,0,0,0,0,0,no
14,0,0,147,0,0,0,0,0,0,no
14,0,0,110,0,0,0,0,0,0,no
14,0,0,251,0,0,0,0,0,0,no
14,0,0,312,0,0,0,0,0,0,no
14,0,0,166,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,42,0,0,0,0,0,0,no
14,0,0,84,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,77,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,80,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,109,0,0,0,0,0,0,no
14,0,0,120,0,0,0,0,0,0,no
14,0,0,97,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,110,0,0,0,0,0,0,no
14,0,0,45,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,27,0,0,0,0,0,0,no
14,0,0,85,0,0,0,0,0,0,no
14,0,0,72,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,102,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,80,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,41,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,108,0,0,0,0,0,0,no
14,0,0,119,0,0,0,0,0,0,no
14,0,0,96,0,0,0,0,0,0,no
14,0,0,40,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,23,0,0,0,0,0,0,no
14,0,0,90,0,0,0,0,0,0,no
14,0,0,103,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,44,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,26,0,0,0,0,0,0,no
14,0,0,102,0,0,0,0,0,0,no
14,0,0,38,0,0,0,0,0,0,no
14,0,0,73,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,443,0,0,0,0,0,0,no
14,0,0,103,0,0,0,0,0,0,no
14,0,0,82,0,0,0,0,0,0,no
14,0,0,90,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,95,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,94,0,0,0,0,0,0,no
14,0,0,99,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,92,0,0,0,0,0,0,no
14,0,0,85,0,0,0,0,0,0,no
14,0,0,26,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,49,0,0,0,0,0,0,no
14,0,0,49,0,0,0,0,0,0,no
14,0,0,132,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,73,0,0,0,0,0,0,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,114,0,0,0,0,0,0,no
14,0,0,102,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,141,0,0,0,0,0,0,no
14,0,0,543,0,0,0,0,0,0,no
14,0,0,188,0,0,0,0,0,0,no
14,0,0,96,0,0,0,0,0,0,no
14,0,0,94,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,152,0,0,0,0,0,0,no
14,0,0,77,0,0,0,0,0,0,no
14,0,0,82,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,158,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,119,0,0,0,0,0,0,no
14,0,0,100,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,144,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,47,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,1247,0,0,0,0,0,0,no
14,0,0,101,0,0,0,0,0,0,no
14,0,0,80,0,0,0,0,0,0,no
14,0,0,76,0,0,0,0,0,0,no
14,0,0,80,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,77,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,84,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,77,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,45,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,62,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,79,0,0,0,0,0,0,no
14,0,0,52,0,0,0,0,0,0,no
14,0,0,63,0,0,0,0,0,0,no
14,0,0,77,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,108,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,906,0,0,0,0,0,0,no
14,0,0,132,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,239,0,0,0,0,0,0,no
14,0,0,97,0,0,0,0,0,0,no
14,0,0,146,0,0,0,0,0,0,no
14,0,0,906,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,84,0,0,0,0,0,0,no
14,0,0,97,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,73,0,0,0,0,0,0,no
14,0,0,236,0,0,0,0,0,0,no
14,0,0,125,0,0,0,0,0,0,no
14,0,0,38,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,400,0,0,0,0,0,0,no
14,0,0,104,0,0,0,0,0,0,no
14,0,0,38,0,0,0,0,0,0,no
14,0,0,113,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,31,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,41,0,0,0,0,0,0,no
14,0,0,109,0,0,0,0,0,0,no
14,0,0,40,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,26,0,0,0,0,0,0,no
14,0,0,30,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,96,0,0,0,0,0,0,no
14,0,0,159,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,49,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,76,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,126,0,0,0,0,0,0,no
14,0,0,121,0,0,0,0,0,0,no
14,0,0,40,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,30,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,79,0,0,0,0,0,0,no
14,0,0,92,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,92,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,30,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,43,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,114,0,0,0,0,0,0,no
14,0,0,42,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,47,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,45,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,79,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,85,0,0,0,0,0,0,no
14,0,0,624,0,0,0,0,0,0,no
14,0,0,177,0,0,0,0,0,0,no
14,0,0,109,0,0,0,0,0,0,no
14,0,0,308,0,0,0,0,0,0,no
14,0,0,1793,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,1750,0,0,0,0,0,0,no
14,0,0,204,0,0,0,0,0,0,no
14,0,0,570,0,0,0,0,0,0,no
14,0,0,196,0,0,0,0,0,0,no
14,0,0,406,0,0,0,0,0,0,no
14,0,0,590,0,0,0,0,0,0,no
14,0,0,808,0,0,0,0,0,0,no
14,2,0,1572,56,28,28,2,1,1,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,30,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,72,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,105,0,0,0,0,0,0,no
14,0,0,41,0,0,0,0,0,0,no
14,0,0,38,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,29,0,0,0,0,0,0,no
14,0,0,91,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,34,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,30,0,0,0,0,0,0,no
14,0,0,455,0,0,0,0,0,0,no
14,0,0,238,0,0,0,0,0,0,no
14,0,0,178,0,0,0,0,0,0,no
14,6,0,1622,118,57,19,40,16,6,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,118,0,0,0,0,0,0,no
14,0,0,37,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,45,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,33,0,0,0,0,0,0,no
14,0,0,71,0,0,0,0,0,0,no
14,0,0,43,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,105,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,128,0,0,0,0,0,0,no
14,0,0,100,0,0,0,0,0,0,no
14,0,0,238,0,0,0,0,0,0,no
14,0,0,41,0,0,0,0,0,0,no
14,0,0,160,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,556,0,0,0,0,0,0,no
14,0,0,175,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,356,0,0,0,0,0,0,no
14,0,0,125,0,0,0,0,0,0,no
14,0,0,85,0,0,0,0,0,0,no
14,0,0,109,0,0,0,0,0,0,no
14,0,0,323,0,0,0,0,0,0,no
14,0,0,134,0,0,0,0,0,0,no
14,0,0,473,0,0,0,0,0,0,no
14,0,0,220,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,173,0,0,0,0,0,0,no
14,0,0,116,0,0,0,0,0,0,no
14,0,0,97,0,0,0,0,0,0,no
14,0,0,123,0,0,0,0,0,0,no
14,0,0,115,0,0,0,0,0,0,no
14,0,0,98,0,0,0,0,0,0,no
14,0,0,323,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,146,0,0,0,0,0,0,no
14,0,0,102,0,0,0,0,0,0,no
14,0,0,38,0,0,0,0,0,0,no
14,0,0,88,0,0,0,0,0,0,no
14,0,0,76,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,121,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,135,0,0,0,0,0,0,no
14,0,0,263,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,44,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,26,0,0,0,0,0,0,no
14,0,0,60,0,0,0,0,0,0,no
14,0,0,39,0,0,0,0,0,0,no
14,0,0,46,0,0,0,0,0,0,no
14,0,0,73,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,51,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,284,0,0,0,0,0,0,no
14,0,0,50,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,47,0,0,0,0,0,0,no
14,0,0,35,0,0,0,0,0,0,no
14,0,0,107,0,0,0,0,0,0,no
14,0,0,104,0,0,0,0,0,0,no
14,0,0,98,0,0,0,0,0,0,no
14,0,0,105,0,0,0,0,0,0,no
14,0,0,99,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,175,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,181,0,0,0,0,0,0,no
14,0,0,89,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,213,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,183,0,0,0,0,0,0,no
14,0,0,89,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,84,0,0,0,0,0,0,no
14,0,0,113,0,0,0,0,0,0,no
14,0,0,79,0,0,0,0,0,0,no
14,0,0,161,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,120,0,0,0,0,0,0,no
14,0,0,81,0,0,0,0,0,0,no
14,0,0,109,0,0,0,0,0,0,no
14,0,0,164,0,0,0,0,0,0,no
14,0,0,181,0,0,0,0,0,0,no
14,0,0,89,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,212,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,123,0,0,0,0,0,0,no
14,0,0,111,0,0,0,0,0,0,no
14,0,0,163,0,0,0,0,0,0,no
14,0,0,90,0,0,0,0,0,0,no
14,0,0,99,0,0,0,0,0,0,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,111,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,152,0,0,0,0,0,0,no
14,0,0,80,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,27,0,0,0,0,0,0,no
14,0,0,32,0,0,0,0,0,0,no
14,0,0,124,0,0,0,0,0,0,no
14,0,0,82,0,0,0,0,0,0,no
14,0,0,113,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,161,0,0,0,0,0,0,no
14,0,0,56,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,123,0,0,0,0,0,0,no
14,0,0,68,0,0,0,0,0,0,no
14,0,0,87,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,69,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,107,0,0,0,0,0,0,no
14,0,0,67,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,55,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,156,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,79,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,306,0,0,0,0,0,0,no
14,0,0,312,0,0,0,0,0,0,no
14,0,0,292,0,0,0,0,0,0,no
14,0,0,95,0,0,0,0,0,0,no
14,0,0,192,0,0,0,0,0,0,no
14,0,0,63,0,0,0,0,0,0,no
14,0,0,86,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,61,0,0,0,0,0,0,no
14,0,0,203,0,0,0,0,0,0,no
14,0,0,66,0,0,0,0,0,0,no
14,0,0,63,0,0,0,0,0,0,no
14,0,0,52,0,0,0,0,0,0,no
14,0,0,72,0,0,0,0,0,0,no
14,0,0,75,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,230,0,0,0,0,0,0,no
14,0,0,57,0,0,0,0,0,0,no
14,0,0,96,0,0,0,0,0,0,no
14,0,0,74,0,0,0,0,0,0,no
14,0,0,96,0,0,0,0,0,0,no
14,0,0,123,0,0,0,0,0,0,no
14,0,0,103,0,0,0,0,0,0,no
14,0,0,127,0,0,0,0,0,0,no
14,0,0,150,0,0,0,0,0,0,no
14,0,0,82,0,0,0,0,0,0,no
14,0,0,78,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,59,0,0,0,0,0,0,no
14,0,0,65,0,0,0,0,0,0,no
14,0,0,70,0,0,0,0,0,0,no
14,0,0,72,0,0,0,0,0,0,no
14,0,0,58,0,0,0,0,0,0,no
14,0,0,48,0,0,0,0,0,0,no
14,0,0,53,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,27,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,28,0,0,0,0,0,0,no
14,0,0,54,0,0,0,0,0,0,no
14,0,0,36,0,0,0,0,0,0,no
14,0,0,27,0,0,0,0,0,0,no
14,0,0,178,0,0,0,0,0,0,no
14,0,0,42,0,0,0,0,0,0,no
14,0,0,43,0,0,0,0,0,0,no
14,0,0,43,0,0,0,0,0,0,no
14,0,0,112,0,0,0,0,0,0,no
14,0,0,511,0,0,0,0,0,0,no
14,0,0,149,0,0,0,0,0,0,no
14,0,0,64,0,0,0,0,0,0,no
14,0,0,201,0,0,0,0,0,0,no
